survey version standard standard_catagory shift Foundation-g Foundation-r Foundation-i Foundation-z 
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd194093_v2.fits stis_ngsl_v2 0 2.418 2.052 1.964 1.932
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd191277_v2.fits stis_ngsl_v2 0 5.868 5.004 4.703 4.551
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd010380_v2.fits stis_ngsl_v2 0 4.995 3.974 3.575 3.378
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd034816_v2.fits stis_ngsl_v2 0 4.046 4.5 4.872 5.135
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd000319_v2.fits stis_ngsl_v2 0 5.865 5.976 6.123 6.226
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd105452_v2.fits stis_ngsl_v2 0 4.042 3.947 3.987 4.043
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd111464_v2.fits stis_ngsl_v2 0 7.171 6.101 5.656 5.412
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd019656_v2.fits stis_ngsl_v2 0 5.069 4.297 4.048 3.932
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd058343_v2.fits stis_ngsl_v2 0 4.933 5.115 5.312 5.462
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd138716_v2.fits stis_ngsl_v2 0 5.082 4.382 4.168 4.072
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd196426_v2.fits stis_ngsl_v2 0 6.04 6.344 6.605 6.766
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd020630_v2.fits stis_ngsl_v2 0 5.076 4.656 4.528 4.501
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g192-43_v2.fits stis_ngsl_v2 0 10.458 10.223 10.184 10.196
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd055057_v2.fits stis_ngsl_v2 0 5.449 5.38 5.438 5.498
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g17-25_v2.fits stis_ngsl_v2 0 9.9 9.383 9.189 9.113
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd193281_v2.fits stis_ngsl_v2 0 6.659 6.784 6.934 7.025
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd134440_v2.fits stis_ngsl_v2 0 9.765 9.127 8.887 8.785
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd036960_v2.fits stis_ngsl_v2 0 4.506 4.949 5.311 5.568
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd041661_v2.fits stis_ngsl_v2 0 7.577 7.337 7.316 7.35
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_bd720094_v2.fits stis_ngsl_v2 0 10.057 9.819 9.748 9.756
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd094028_v2.fits stis_ngsl_v2 0 8.351 8.067 7.986 7.98
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd006229_v2.fits stis_ngsl_v2 0 8.862 8.364 8.16 8.07
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd122064_v2.fits stis_ngsl_v2 0 6.894 6.1 5.845 5.743
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd102780_v2.fits stis_ngsl_v2 0 8.886 7.635 6.966 6.638
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd128000_v2.fits stis_ngsl_v2 0 6.364 5.191 4.653 4.395
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd170973_v2.fits stis_ngsl_v2 0 6.285 6.495 6.732 6.883
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd142091_v2.fits stis_ngsl_v2 0 5.172 4.465 4.236 4.142
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd021742_v2.fits stis_ngsl_v2 0 8.31 7.75 7.593 7.54
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd090862_v2.fits stis_ngsl_v2 0 9.219 8.114 7.626 7.383
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd017081_v2.fits stis_ngsl_v2 0 4.045 4.373 4.656 4.835
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd224801_v2.fits stis_ngsl_v2 0 6.249 6.483 6.726 6.896
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd167105_v2.fits stis_ngsl_v2 0 9.001 9.212 9.45 9.566
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd019445_v2.fits stis_ngsl_v2 0 8.169 7.893 7.8 7.794
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd047839_v2.fits stis_ngsl_v2 0 4.435 4.881 5.243 5.502
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd072505_v2.fits stis_ngsl_v2 0 6.706 5.868 5.585 5.44
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd193495_v2.fits stis_ngsl_v2 0 3.375 2.821 2.612 2.509
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_bd292091_v2.fits stis_ngsl_v2 0 10.46 10.149 10.058 10.046
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd018769_v2.fits stis_ngsl_v2 0 5.853 5.946 6.104 6.231
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_bd660268_v2.fits stis_ngsl_v2 0 10.289 9.914 9.773 9.714
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g234-28_v2.fits stis_ngsl_v2 0 11.248 10.966 10.894 10.897
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd190360_v2.fits stis_ngsl_v2 0 6.018 5.556 5.432 5.395
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd132475_v2.fits stis_ngsl_v2 0 8.74 8.39 8.254 8.214
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd195434_v2.fits stis_ngsl_v2 0 9.656 8.978 8.697 8.565
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd185351_v2.fits stis_ngsl_v2 0 5.518 4.886 4.687 4.611
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd029574_v2.fits stis_ngsl_v2 0 8.938 7.837 7.316 7.05
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g196-48_v2.fits stis_ngsl_v2 0 10.508 10.18 10.073 10.053
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g114-26_v2.fits stis_ngsl_v2 0 9.795 9.504 9.415 9.403
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g019-013_v2.fits stis_ngsl_v2 0 8.2 7.227 6.835 6.656
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd160346_v2.fits stis_ngsl_v2 0 6.882 6.166 5.902 5.785
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd003360_v2.fits stis_ngsl_v2 0 3.439 3.841 4.17 4.399
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd074088_v2.fits stis_ngsl_v2 0 7.415 6.136 5.535 5.216
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd078479_v2.fits stis_ngsl_v2 0 7.657 6.793 6.502 6.351
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_bd174708_v2.fits stis_ngsl_v2 0 9.639 9.399 9.347 9.358
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd188262_v2.fits stis_ngsl_v2 0 8.026 7.419 7.197 7.078
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_bd+381670_v2.fits stis_ngsl_v2 0 9.633 9.237 9.087 9.024
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd065714_v2.fits stis_ngsl_v2 0 6.242 5.564 5.344 5.248
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd201601_v2.fits stis_ngsl_v2 0 4.741 4.708 4.812 4.92
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd164058_v2.fits stis_ngsl_v2 0 2.871 1.723 1.187 0.928
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd034078_v2.fits stis_ngsl_v2 0 6.029 5.914 5.926 5.969
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd115617_v2.fits stis_ngsl_v2 0 4.975 4.51 4.375 4.347
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd036702_v2.fits stis_ngsl_v2 0 8.839 7.92 7.524 7.333
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g021-024_v2.fits stis_ngsl_v2 0 9.423 8.316 7.864 7.668
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd063791_v2.fits stis_ngsl_v2 0 8.255 7.588 7.297 7.168
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd215665_v2.fits stis_ngsl_v2 0 4.37 3.649 3.409 3.297
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd097633_v2.fits stis_ngsl_v2 0 3.179 3.414 3.632 3.756
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd112413_v2.fits stis_ngsl_v2 0 2.739 3.037 3.306 3.484
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd200905_v2.fits stis_ngsl_v2 0 4.376 3.136 2.564 2.286
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd008724_v2.fits stis_ngsl_v2 0 8.747 7.986 7.647 7.486
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd031421_v2.fits stis_ngsl_v2 0 4.537 3.721 3.404 3.25
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd212516_v2.fits stis_ngsl_v2 0 9.442 8.151 7.338 6.953
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd200081_v2.fits stis_ngsl_v2 0 8.239 7.703 7.515 7.441
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_bd-122669_v2.fits stis_ngsl_v2 0 10.283 10.162 10.177 10.232
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd012533_v2.fits stis_ngsl_v2 0 2.785 1.831 1.492 1.31
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd196662_v2.fits stis_ngsl_v2 0 5.631 5.95 6.262 6.461
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd008890_v2.fits stis_ngsl_v2 0 2.181 1.842 1.784 1.791
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd174966_v2.fits stis_ngsl_v2 0 7.749 7.711 7.806 7.893
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd191026_v2.fits stis_ngsl_v2 0 5.686 5.103 4.92 4.853
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd004128_v2.fits stis_ngsl_v2 0 2.514 1.87 1.678 1.589
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd114330_v2.fits stis_ngsl_v2 0 4.452 4.65 4.91 5.056
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd164353_v2.fits stis_ngsl_v2 0 3.879 4.028 4.21 4.322
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd183915_v2.fits stis_ngsl_v2 0 7.829 6.901 6.57 6.387
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd138749_v2.fits stis_ngsl_v2 0 4.094 4.424 4.707 4.894
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd019308_v2.fits stis_ngsl_v2 0 7.6 7.195 7.112 7.116
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd163346_v2.fits stis_ngsl_v2 0 7.047 6.641 6.481 6.412
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd033793_v2.fits stis_ngsl_v2 0 9.553 8.232 7.461 7.086
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_bd092860_v2.fits stis_ngsl_v2 0 11.174 10.785 10.652 10.602
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd000358_v2.fits stis_ngsl_v2 0 1.896 2.2 2.476 2.662
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd106516_v2.fits stis_ngsl_v2 0 6.236 5.983 5.912 5.921
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd126661_v2.fits stis_ngsl_v2 0 5.372 5.394 5.516 5.601
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd037828_v2.fits stis_ngsl_v2 0 7.333 6.505 6.128 5.938
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd005916_v2.fits stis_ngsl_v2 0 7.194 6.586 6.355 6.254
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd006755_v2.fits stis_ngsl_v2 0 8.018 7.511 7.304 7.227
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd183324_v2.fits stis_ngsl_v2 0 5.873 6.06 6.278 6.416
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd037216_v2.fits stis_ngsl_v2 0 8.117 7.64 7.517 7.487
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_viwcom_v2.fits stis_ngsl_v2 0 8.723 7.477 6.041 5.423
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd109995_v2.fits stis_ngsl_v2 0 7.482 7.654 7.819 7.904
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd123657_v2.fits stis_ngsl_v2 0 5.73 4.506 3.044 2.404
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd018907_v2.fits stis_ngsl_v2 0 6.149 5.629 5.438 5.352
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd087140_v2.fits stis_ngsl_v2 0 9.247 8.751 8.532 8.45
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd095418_v2.fits stis_ngsl_v2 0 2.278 2.478 2.689 2.838
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd148513_v2.fits stis_ngsl_v2 0 5.988 4.88 4.432 4.187
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd169191_v2.fits stis_ngsl_v2 0 5.746 4.822 4.482 4.321
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd095241_v2.fits stis_ngsl_v2 0 6.196 5.852 5.747 5.73
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd023439_v2.fits stis_ngsl_v2 0 8.412 7.885 7.692 7.62
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_lhs10_v2.fits stis_ngsl_v2 0 13.323 11.923 9.817 8.847
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g260-36_v2.fits stis_ngsl_v2 0 11.587 10.944 10.727 10.647
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd128987_v2.fits stis_ngsl_v2 0 7.571 7.11 6.996 6.974
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd025975_v2.fits stis_ngsl_v2 0 6.433 5.796 5.609 5.536
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd022049_v2.fits stis_ngsl_v2 0 4.043 3.415 3.218 3.156
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd119971_v2.fits stis_ngsl_v2 0 6.01 4.976 4.534 4.311
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd073710_v2.fits stis_ngsl_v2 0 6.802 6.116 5.897 5.792
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd149161_v2.fits stis_ngsl_v2 0 5.476 4.297 3.751 3.486
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd079349_v2.fits stis_ngsl_v2 0 9.155 7.941 7.316 7.002
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd217357_v2.fits stis_ngsl_v2 0 8.505 7.303 6.738 6.49
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd111786_v2.fits stis_ngsl_v2 0 6.136 6.121 6.173 6.24
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd166991_v2.fits stis_ngsl_v2 0 6.749 6.881 7.044 7.167
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd059612_v2.fits stis_ngsl_v2 0 4.872 4.855 4.922 4.862
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd093329_v2.fits stis_ngsl_v2 0 8.683 8.83 8.994 9.065
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd086986_v2.fits stis_ngsl_v2 0 7.929 8.027 8.151 8.217
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd039833_v2.fits stis_ngsl_v2 0 7.84 7.45 7.353 7.347
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_gl15b_v2.fits stis_ngsl_v2 0 8.83 7.495 6.614 6.192
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd001461_v2.fits stis_ngsl_v2 0 6.677 6.27 6.165 6.139
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g18-54_v2.fits stis_ngsl_v2 0 10.884 10.569 10.472 10.466
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd124425_v2.fits stis_ngsl_v2 0 6.021 5.774 5.725 5.751
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd068988_v2.fits stis_ngsl_v2 0 8.415 8.014 7.92 7.922
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd155763_v2.fits stis_ngsl_v2 0 2.967 3.29 3.575 3.743
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd058551_v2.fits stis_ngsl_v2 0 6.655 6.406 6.349 6.355
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd017072_v2.fits stis_ngsl_v2 0 6.816 6.377 6.204 6.142
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd284248_v2.fits stis_ngsl_v2 0 9.373 9.126 9.081 9.089
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd037202_v2.fits stis_ngsl_v2 0 2.687 3.04 3.343 3.498
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd018078_v2.fits stis_ngsl_v2 0 8.248 8.215 8.318 8.377
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_mmj6490_v2.fits stis_ngsl_v2 0 10.858 11.008 11.192 11.307
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd126511_v2.fits stis_ngsl_v2 0 8.619 8.128 7.983 7.951
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd079158_v2.fits stis_ngsl_v2 0 5.117 5.424 5.717 5.914
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd110073_v2.fits stis_ngsl_v2 0 4.515 4.797 5.089 5.275
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_cd-691618_v2.fits stis_ngsl_v2 0 9.099 9.439 9.744 9.962
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_bd423607_v2.fits stis_ngsl_v2 0 10.406 10.151 10.089 10.08
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd187879_v2.fits stis_ngsl_v2 0 5.534 5.778 6.013 6.174
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd203638_v2.fits stis_ngsl_v2 0 5.797 4.985 4.718 4.579
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_vgkcom_v2.fits stis_ngsl_v2 0 7.463 6.232 4.748 4.092
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_mmj6476_v2.fits stis_ngsl_v2 0 11.339 11.275 11.348 11.413
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd055496_v2.fits stis_ngsl_v2 0 8.76 8.132 7.909 7.794
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd126614_v2.fits stis_ngsl_v2 0 9.079 8.554 8.424 8.387
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd099648_v2.fits stis_ngsl_v2 0 5.329 4.661 4.45 4.36
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_bd+413306_v2.fits stis_ngsl_v2 0 9.168 8.614 8.409 8.33
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd170737_v2.fits stis_ngsl_v2 0 8.418 7.855 7.628 7.537
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g63-26_v2.fits stis_ngsl_v2 0 12.377 12.116 12.065 12.098
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd076291_v2.fits stis_ngsl_v2 0 6.149 5.36 5.074 4.936
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd345957_v2.fits stis_ngsl_v2 0 9.063 8.739 8.616 8.601
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd078362_v2.fits stis_ngsl_v2 0 4.71 4.585 4.647 4.721
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_bd442051_v2.fits stis_ngsl_v2 0 9.427 8.139 7.293 6.9
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd142703_v2.fits stis_ngsl_v2 0 6.118 6.078 6.128 6.188
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_vbnvul_v2.fits stis_ngsl_v2 0 10.835 10.372 10.145 9.981
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd166283_v2.fits stis_ngsl_v2 0 7.794 7.802 7.921 8.015
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd137759_v2.fits stis_ngsl_v2 0 3.993 3.318 3.061 2.908
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd175156_v2.fits stis_ngsl_v2 0 5.079 5.08 5.157 5.209
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd037763_v2.fits stis_ngsl_v2 0 5.614 4.801 4.527 4.392
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd044007_v2.fits stis_ngsl_v2 0 8.365 7.764 7.508 7.392
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd101107_v2.fits stis_ngsl_v2 0 5.674 5.548 5.574 5.643
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd187111_v2.fits stis_ngsl_v2 0 8.246 7.295 6.852 6.634
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd038510_v2.fits stis_ngsl_v2 0 8.348 8.039 7.946 7.928
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd063077_v2.fits stis_ngsl_v2 0 5.542 5.231 5.133 5.114
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd175305_v2.fits stis_ngsl_v2 0 7.605 7.117 6.939 6.859
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd124547_v2.fits stis_ngsl_v2 0 5.383 4.357 3.961 3.761
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd015089_v2.fits stis_ngsl_v2 0 4.589 4.768 5.019 5.188
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd013520_v2.fits stis_ngsl_v2 0 5.38 4.247 3.776 3.527
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd019019_v2.fits stis_ngsl_v2 0 7.076 6.752 6.683 6.699
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd190073_v2.fits stis_ngsl_v2 0 7.769 7.853 7.991 8.002
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd175805_v2.fits stis_ngsl_v2 0 7.83 7.54 7.511 7.546
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd194453_v2.fits stis_ngsl_v2 0 6.619 6.866 7.096 7.226
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd061064_v2.fits stis_ngsl_v2 0 5.166 4.955 4.983 5.018
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd134439_v2.fits stis_ngsl_v2 0 9.737 9.275 9.109 9.02
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd026630_v2.fits stis_ngsl_v2 0 4.505 3.813 3.565 3.464
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd096446_v2.fits stis_ngsl_v2 0 6.491 6.83 7.121 7.334
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_g180-24_v2.fits stis_ngsl_v2 0 10.012 9.744 9.644 9.643
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd080607_v2.fits stis_ngsl_v2 0 9.376 8.872 8.746 8.716
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd141795_v2.fits stis_ngsl_v2 0 3.657 3.746 3.912 4.04
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd157244_v2.fits stis_ngsl_v2 0 3.422 2.352 1.981 1.774
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd111515_v2.fits stis_ngsl_v2 0 8.343 7.908 7.761 7.713
PS1SN Foundation spectra/stis_ngsl_v2/h_stis_ngsl_hd107582_v2.fits stis_ngsl_v2 0 8.399 8.011 7.887 7.859
PS1SN Foundation spectra/calspec23/bd26d2606_stis_006.fits calspec23 0 9.839 9.591 9.505 9.489
PS1SN Foundation spectra/calspec23/wd0308_565_stis_009.fits calspec23 0 13.945 14.297 14.614 14.861
PS1SN Foundation spectra/calspec23/sdss132811_stis_004.fits calspec23 0 17.003 17.234 17.467 17.66
PS1SN Foundation spectra/calspec23/hz21_stis_007.fits calspec23 0 14.408 14.904 15.302 15.601
PS1SN Foundation spectra/calspec23/gj7541a_stis_004.fits calspec23 0 12.218 12.368 12.557 12.734
PS1SN Foundation spectra/calspec23/ngc6681_3_stis_002.fits calspec23 0 16.662 nan nan nan
PS1SN Foundation spectra/calspec23/16cygb_stis_004.fits calspec23 0 6.444 6.039 5.924 5.903
PS1SN Foundation spectra/calspec23/hd38949_stis_007.fits calspec23 0 7.97 7.639 7.556 7.557
PS1SN Foundation spectra/calspec23/hd115169_stis_003.fits calspec23 0 9.455 9.065 8.948 8.922
PS1SN Foundation spectra/calspec23/feige34_stis_006.fits calspec23 0 10.886 11.393 11.762 12.013
PS1SN Foundation spectra/calspec23/18sco_stis_005.fits calspec23 0 5.693 5.311 5.199 5.18
PS1SN Foundation spectra/calspec23/ngc6681_9_stis_002.fits calspec23 0 15.717 nan nan nan
PS1SN Foundation spectra/calspec23/hd209458_stisnic_008.fits calspec23 0 7.813 7.505 7.433 7.441
PS1SN Foundation spectra/calspec23/wd0320_539_stis_005.fits calspec23 0 14.705 15.165 15.547 15.831
PS1SN Foundation spectra/calspec23/mucol_stis_007.fits calspec23 0 4.891 5.356 5.732 6.007
